"","observed","predicted"
"441",0,7.7493826527989e-11
"442",1,1
"443",0,2.22044604925031e-16
"444",1,1
"445",0,2.22044604925031e-16
"446",1,3.3246934931337e-07
"447",1,1
"448",0,2.22044604925031e-16
"449",1,0.999999199953209
"450",0,1.16590735099524e-09
"451",0,1.00337912599262e-13
"452",0,2.22044604925031e-16
"453",0,2.22044604925031e-16
"454",1,0.982599694268644
"455",0,1.36931214520241e-12
"456",1,1
"457",1,1
"458",0,2.22044604925031e-16
"459",1,0.970914324965861
"460",0,2.22044604925031e-16
"461",1,1
"462",0,1.52827717221362e-10
"463",1,0.768519497795072
"464",0,2.22044604925031e-16
"465",0,2.22044604925031e-16
"466",1,3.53617202096001e-07
"467",1,1
"468",0,2.22044604925031e-16
"469",1,0.999998966175186
"470",0,2.22044604925031e-16
"471",0,2.22044604925031e-16
"472",0,2.22044604925031e-16
"473",0,2.22044604925031e-16
"474",1,2.04380213722226e-07
"475",1,1
"476",1,1
"477",0,2.22044604925031e-16
"478",0,1.31714825376892e-10
"479",1,1
